i-0afbb188b59291364	 + curl -sf -m 4 http://localhost:8000/spec_stats
[  628.387427] cloud-init[1385]: + sleep 10
[  638.389663] cloud-init[1385]: + for i in {1..150}
[  638.389835] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  638.391628] cloud-init[1385]: + grep -q '"enabled":true'
[  638.397502] cloud-init[1385]: + sleep 10
[  648.400067] cloud-init[1385]: + for i in {1..150}
[  648.400453] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  648.402159] cloud-init[1385]: + grep -q '"enabled":true'
[  648.408069] cloud-init[1385]: + sleep 10
[  658.410401] cloud-init[1385]: + for i in {1..150}
[  658.410814] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  658.410917] cloud-init[1385]: + grep -q '"enabled":true'
[  658.419875] cloud-init[1385]: + sleep 10
[  668.422484] cloud-init[1385]: + for i in {1..150}
[  668.422684] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  668.422873] cloud-init[1385]: + grep -q '"enabled":true'
[  668.431871] cloud-init[1385]: + sleep 10
[  678.434913] cloud-init[1385]: + for i in {1..150}
[  678.435836] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  678.435909] cloud-init[1385]: + grep -q '"enabled":true'
[  678.443254] cloud-init[1385]: + sleep 10
[  688.445977] cloud-init[1385]: + for i in {1..150}
[  688.446296] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  688.446425] cloud-init[1385]: + grep -q '"enabled":true'
[  688.455564] cloud-init[1385]: + sleep 10
[  698.458046] cloud-init[1385]: + for i in {1..150}
[  698.458319] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  698.458411] cloud-init[1385]: + grep -q '"enabled":true'
[  698.467476] cloud-init[1385]: + sleep 10
[  708.469816] cloud-init[1385]: + for i in {1..150}
[  708.470515] cloud-init[1385]: + grep -q '"enabled":true'
[  708.471591] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  708.479659] cloud-init[1385]: + sleep 10
[  718.482658] cloud-init[1385]: + for i in {1..150}
[  718.483255] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  718.483463] cloud-init[1385]: + grep -q '"enabled":true'
[  718.492219] cloud-init[1385]: + sleep 10
[  728.495134] cloud-init[1385]: + for i in {1..150}
[  728.495324] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  728.495582] cloud-init[1385]: + grep -q '"enabled":true'
[  728.504582] cloud-init[1385]: + sleep 10
[  738.507057] cloud-init[1385]: + for i in {1..150}
[  738.507299] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  738.508981] cloud-init[1385]: + grep -q '"enabled":true'
[  738.514922] cloud-init[1385]: + sleep 10
[  748.517646] cloud-init[1385]: + for i in {1..150}
[  748.518072] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  748.519511] cloud-init[1385]: + grep -q '"enabled":true'
[  748.525538] cloud-init[1385]: + sleep 10
[  758.527790] cloud-init[1385]: + for i in {1..150}
[  758.528098] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  758.529918] cloud-init[1385]: + grep -q '"enabled":true'
[  758.535969] cloud-init[1385]: + sleep 10
[  768.538034] cloud-init[1385]: + for i in {1..150}
[  768.538290] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  768.539998] cloud-init[1385]: + grep -q '"enabled":true'
[  768.546034] cloud-init[1385]: + sleep 10
[  778.548963] cloud-init[1385]: + for i in {1..150}
[  778.549330] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  778.550391] cloud-init[1385]: + grep -q '"enabled":true'
[  778.556726] cloud-init[1385]: + sleep 10
[  788.559544] cloud-init[1385]: + for i in {1..150}
[  788.559852] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  788.559914] cloud-init[1385]: + grep -q '"enabled":true'
[  788.568967] cloud-init[1385]: + sleep 10
[  798.571595] cloud-init[1385]: + for i in {1..150}
[  798.574100] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  798.574180] cloud-init[1385]: + grep -q '"enabled":true'
[  798.581645] cloud-init[1385]: + sleep 10
[  808.584081] cloud-init[1385]: + for i in {1..150}
[  808.585142] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  808.586365] cloud-init[1385]: + grep -q '"enabled":true'
[  808.591885] cloud-init[1385]: + sleep 10
[  818.594256] cloud-init[1385]: + for i in {1..150}
[  818.595295] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  818.595365] cloud-init[1385]: + grep -q '"enabled":true'
[  818.602152] cloud-init[1385]: + sleep 10
[  828.604538] cloud-init[1385]: + for i in {1..150}
[  828.605589] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  828.605663] cloud-init[1385]: + grep -q '"enabled":true'
[  828.612483] cloud-init[1385]: + sleep 10
[  838.615064] cloud-init[1385]: + for i in {1..150}
[  838.615973] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  838.617093] cloud-init[1385]: + grep -q '"enabled":true'
[  838.622641] cloud-init[1385]: + sleep 10
[  848.625314] cloud-init[1385]: + for i in {1..150}
[  848.625550] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  848.625695] cloud-init[1385]: + grep -q '"enabled":true'
[  848.634639] cloud-init[1385]: + sleep 10
[  858.637502] cloud-init[1385]: + for i in {1..150}
[  858.638124] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  858.638303] cloud-init[1385]: + grep -q '"enabled":true'
[  858.647139] cloud-init[1385]: + sleep 10
[  868.649545] cloud-init[1385]: + for i in {1..150}
[  868.649718] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  868.649949] cloud-init[1385]: + grep -q '"enabled":true'
[  868.659114] cloud-init[1385]: + sleep 10
[  878.661684] cloud-init[1385]: + for i in {1..150}
[  878.661955] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  878.663707] cloud-init[1385]: + grep -q '"enabled":true'
[  878.669718] cloud-init[1385]: + sleep 10
[  888.672316] cloud-init[1385]: + for i in {1..150}
[  888.673205] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  888.674314] cloud-init[1385]: + grep -q '"enabled":true'
[  888.680129] cloud-init[1385]: + sleep 10
[  898.682539] cloud-init[1385]: + for i in {1..150}
[  898.683435] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  898.684601] cloud-init[1385]: + grep -q '"enabled":true'
[  898.690308] cloud-init[1385]: + sleep 10
[  908.693386] cloud-init[1385]: + for i in {1..150}
[  908.694695] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  908.694772] cloud-init[1385]: + grep -q '"enabled":true'
[  908.702910] cloud-init[1385]: + sleep 10
[  918.705188] cloud-init[1385]: + for i in {1..150}
[  918.706118] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  918.706200] cloud-init[1385]: + grep -q '"enabled":true'
[  918.713628] cloud-init[1385]: + sleep 10
[  928.715656] cloud-init[1385]: + for i in {1..150}
[  928.715962] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  928.717575] cloud-init[1385]: + grep -q '"enabled":true'
[  928.723638] cloud-init[1385]: + sleep 10
[  938.725686] cloud-init[1385]: + for i in {1..150}
[  938.726110] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  938.727628] cloud-init[1385]: + grep -q '"enabled":true'
[  938.733595] cloud-init[1385]: + sleep 10
[  948.735550] cloud-init[1385]: + for i in {1..150}
[  948.735847] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  948.737115] cloud-init[1385]: + grep -q '"enabled":true'
[  948.743233] cloud-init[1385]: + sleep 10
[  958.746239] cloud-init[1385]: + for i in {1..150}
[  958.746434] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  958.746618] cloud-init[1385]: + grep -q '"enabled":true'
[  958.755705] cloud-init[1385]: + sleep 10
[  968.758137] cloud-init[1385]: + for i in {1..150}
[  968.758425] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  968.759868] cloud-init[1385]: + grep -q '"enabled":true'
[  968.765869] cloud-init[1385]: + sleep 10
[  978.768708] cloud-init[1385]: + for i in {1..150}
[  978.769105] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  978.769301] cloud-init[1385]: + grep -q '"enabled":true'
[  978.778139] cloud-init[1385]: + sleep 10
[  988.780574] cloud-init[1385]: + for i in {1..150}
[  988.780861] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  988.780946] cloud-init[1385]: + grep -q '"enabled":true'
[  988.789918] cloud-init[1385]: + sleep 10
[  998.792961] cloud-init[1385]: + for i in {1..150}
[  998.793148] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  998.793350] cloud-init[1385]: + grep -q '"enabled":true'
[  998.802482] cloud-init[1385]: + sleep 10
[ 1008.804944] cloud-init[1385]: + for i in {1..150}
[ 1008.805457] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1008.807139] cloud-init[1385]: + grep -q '"enabled":true'
[ 1008.812743] cloud-init[1385]: + sleep 10
[ 1018.815480] cloud-init[1385]: + for i in {1..150}
[ 1018.815659] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1018.817046] cloud-init[1385]: + grep -q '"enabled":true'
[ 1018.823076] cloud-init[1385]: + sleep 10
[ 1028.825472] cloud-init[1385]: + for i in {1..150}
[ 1028.825838] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1028.826265] cloud-init[1385]: + grep -q '"enabled":true'
[ 1028.842731] cloud-init[1385]: + sleep 10
[ 1038.845480] cloud-init[1385]: + for i in {1..150}
[ 1038.847104] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1038.847178] cloud-init[1385]: + grep -q '"enabled":true'
[ 1038.855431] cloud-init[1385]: + sleep 10
[ 1048.858076] cloud-init[1385]: + for i in {1..150}
[ 1048.859042] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1048.860172] cloud-init[1385]: + grep -q '"enabled":true'
[ 1048.881300] cloud-init[1385]: + sleep 10
[ 1058.883955] cloud-init[1385]: + for i in {1..150}
[ 1058.885145] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1058.886217] cloud-init[1385]: + grep -q '"enabled":true'
[ 1058.891840] cloud-init[1385]: + sleep 10
[ 1068.893952] cloud-init[1385]: + for i in {1..150}
[ 1068.894346] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1068.895891] cloud-init[1385]: + grep -q '"enabled":true'
[ 1068.901766] cloud-init[1385]: + sleep 10
[ 1078.904409] cloud-init[1385]: + for i in {1..150}
[ 1078.904732] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1078.906353] cloud-init[1385]: + grep -q '"enabled":true'
[ 1078.912182] cloud-init[1385]: + sleep 10
[ 1088.915283] cloud-init[1385]: + for i in {1..150}
[ 1088.916125] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1088.916213] cloud-init[1385]: + grep -q '"enabled":true'
[ 1088.924148] cloud-init[1385]: + sleep 10
[ 1098.926597] cloud-init[1385]: + for i in {1..150}
[ 1098.929087] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1098.929162] cloud-init[1385]: + grep -q '"enabled":true'
[ 1098.934395] cloud-init[1385]: + sleep 10
[ 1108.936447] cloud-init[1385]: + for i in {1..150}
[ 1108.936747] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1108.938414] cloud-init[1385]: + grep -q '"enabled":true'
[ 1108.944349] cloud-init[1385]: + sleep 10
[ 1118.947002] cloud-init[1385]: + for i in {1..150}
[ 1118.947312] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1118.948561] cloud-init[1385]: + grep -q '"enabled":true'
[ 1118.954625] cloud-init[1385]: + sleep 10
[ 1128.957258] cloud-init[1385]: + for i in {1..150}
[ 1128.957522] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1128.957641] cloud-init[1385]: + grep -q '"enabled":true'
[ 1128.966606] cloud-init[1385]: + sleep 10
[ 1138.968693] cloud-init[1385]: + for i in {1..150}
[ 1138.968956] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1138.970579] cloud-init[1385]: + grep -q '"enabled":true'
[ 1138.976509] cloud-init[1385]: + sleep 10
[ 1148.979302] cloud-init[1385]: + for i in {1..150}
[ 1148.979504] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1148.979689] cloud-init[1385]: + grep -q '"enabled":true'
[ 1148.987075] cloud-init[1385]: + sleep 10
[ 1158.989481] cloud-init[1385]: + for i in {1..150}
[ 1158.989858] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1158.991397] cloud-init[1385]: + grep -q '"enabled":true'
[ 1158.997265] cloud-init[1385]: + sleep 10
[ 1168.999881] cloud-init[1385]: + for i in {1..150}
[ 1169.000239] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1169.000439] cloud-init[1385]: + grep -q '"enabled":true'
[ 1169.009337] cloud-init[1385]: + sleep 10
[ 1179.011770] cloud-init[1385]: + for i in {1..150}
[ 1179.012074] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1179.012135] cloud-init[1385]: + grep -q '"enabled":true'
[ 1179.021207] cloud-init[1385]: + sleep 10
[ 1189.027358] cloud-init[1385]: + for i in {1..150}
[ 1189.029730] cloud-init[1385]: + grep -q '"enabled":true'
[ 1189.030957] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1189.052089] cloud-init[1385]: + sleep 10
[ 1199.055962] cloud-init[1385]: + for i in {1..150}
[ 1199.056321] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1199.056459] cloud-init[1385]: + grep -q '"enabled":true'
[ 1199.065714] cloud-init[1385]: + sleep 10
[ 1209.068128] cloud-init[1385]: + for i in {1..150}
[ 1209.070457] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1209.070538] cloud-init[1385]: + grep -q '"enabled":true'
[ 1209.079715] cloud-init[1385]: + echo 'spec server ready after 1050s'
[ 1209.079799] cloud-init[1385]: spec server ready after 1050s
[ 1209.079849] cloud-init[1385]: + break
[ 1209.080516] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1209.080671] cloud-init[1385]: + grep -q '"k":3'
[ 1209.088103] cloud-init[1385]: + echo 'warming JIT...'
[ 1209.088203] cloud-init[1385]: warming JIT...
[ 1209.088366] cloud-init[1385]: + curl -s -m 300 -X POST http://localhost:8000/v1/chat/completions -H 'Content-Type: application/json' -d '{"model":"default","messages":[{"role":"user","content":"Tell me about the moon."}],"max_tokens":32}'
[ 1290.514668] cloud-init[1385]: + echo 'warm done'
[ 1290.514937] cloud-init[1385]: warm done
[ 1290.515034] cloud-init[1385]: + grep -q 'AssertionError\|RuntimeError' /tmp/srv_k3.log
[ 1290.519232] cloud-init[1385]: + echo '===== K=3 spec bench ====='
[ 1290.519327] cloud-init[1385]: ===== K=3 spec bench =====
[ 1290.519827] cloud-init[1385]: + timeout 600 python3 -m benchmark.bench_serving --model Qwen/Qwen3-8B --base-url http://localhost:8000 --input-len 1024 --output-len 256 --concurrencies 1 --num-requests 8
[ 1290.520080] cloud-init[1385]: + tee /tmp/spec_k3_aws.log
[ 1291.425831] cloud-init[1385]: ============================================================
[ 1291.426057] cloud-init[1385]:   Serving Benchmark
[ 1291.426122] cloud-init[1385]:   Server       : http://localhost:8000
[ 1291.426169] cloud-init[1385]:   Model        : Qwen/Qwen3-8B
[ 1291.426211] cloud-init[1385]:   Load mode    : closed-loop
[ 1291.426252] cloud-init[1385]:   Requests     : 8 per level
[ 1291.426293] cloud-init[1385]:   Input len    : 1024
[ 1291.426354] cloud-init[1385]:   Output len   : 256
[ 1291.426398] cloud-init[1385]:   Randomness   : 0.5
[ 1291.426439] cloud-init[1385]:   Concurrencies: [1]
